ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-03-20,08:00AM,Volkswagen Soared Thanks to Its Electric Vehicle Push. Who's Next?,0.0,0.756,0.244,0.4404
TSLA,2021-03-20,03:01PM,"Cathie Woods Ark Has a New Price Target for Tesla: $3,000",0.0,1.0,0.0,0.0
TSLA,2021-03-20,01:17PM,"Report: In Direct Challenge to Tesla, Geely Planning Luxury Electric Vehicle Line",0.0,0.894,0.106,0.0772
TSLA,2021-03-20,01:16PM,"He began buying Tesla at just $7.50, and now hes retiring at 39 years old with $12 million worth  he still refuses to sell a single share",0.0,0.854,0.146,0.4767
TSLA,2021-03-20,10:55AM,Musk Says Tesla Would Be 'Shut Down' If Its Cars Were Used To Spy In China,0.0,1.0,0.0,0.0
TSLA,2021-03-21,10:06AM,Teslas arrival in India will turbo charge its nascent EV industry,0.0,1.0,0.0,0.0
TSLA,2021-03-21,11:37PM,Russian Hacker Pleads Guilty To Offering $1M Bitcoin Bribe To Tesla Employee,0.315,0.685,0.0,-0.5574
TSLA,2021-03-21,08:00PM,Audi aims to steal march on Tesla after bold electric profit prediction,0.181,0.508,0.311,0.3182
TSLA,2021-03-21,05:03PM,Ford Spokesperson Dismisses Tesla Model Y As 'Vaporware',0.0,1.0,0.0,0.0
TSLA,2021-03-21,01:46PM,Why Tesla's Charging Stations Are A Key Advantage For Its Future,0.0,0.818,0.182,0.25
TSLA,2021-03-21,12:27PM,"Elon Musk To Bernie Sanders: ""I Am Accumulating Resources To Help Make Life Multiplanetary""",0.0,0.828,0.172,0.4019
TSLA,2021-03-21,11:36AM,"Thinking About Buying Stock In Xpeng, GE, Tesla Or Apple?",0.0,1.0,0.0,0.0
TSLA,2021-03-21,08:00PM,The risks and rewards of Elon Musks self-coronation,0.188,0.536,0.277,0.25
TSLA,2021-03-22,01:02PM,"Ark Invest predicts Tesla to hit $3,000 per share by 2025",0.0,0.82,0.18,0.296
TSLA,2021-03-22,12:45PM,Volkswagen Stock Jumps As Electric Vehicle Crown Expected Soon,0.0,1.0,0.0,0.0
TSLA,2021-03-22,12:28PM,Elon Musk: Tesla would be shut down if its cars spied on China,0.0,1.0,0.0,0.0
TSLA,2021-03-22,12:26PM,US STOCKS-Wall Street rises on tech boost; Tesla gains,0.0,0.579,0.421,0.6249
TSLA,2021-03-22,12:19PM,"Dow Jones Up; Tesla Stock Gains As Elon Musk Eases These Fears; Disney, Apple Lead Blue Chips",0.13,0.651,0.219,0.2263
TSLA,2021-03-22,11:18AM,India to launch supercharged push for global electric vehicle players,0.0,1.0,0.0,0.0
TSLA,2021-03-22,11:19AM,Why Tesla Stock Jumped on Monday,0.0,1.0,0.0,0.0
TSLA,2021-03-22,11:01AM,"Woods Ark Invest projects Tesla shares reaching $3,000 by 2025",0.0,0.667,0.333,0.4588
TSLA,2021-03-22,10:54AM,Why Volkswagen Stock Is Still Surging,0.0,1.0,0.0,0.0
TSLA,2021-03-22,10:45AM,Tesla shares jump after ETF manager boosts price target,0.0,0.609,0.391,0.5423
TSLA,2021-03-22,12:09PM,Business Leaders Gathered at the China Development Forum. The Message: U.S. and China Must Work More Closely Together.,0.0,1.0,0.0,0.0
TSLA,2021-03-22,10:32AM,"Volkswagen Could Be a Big Contender for Tesla in a Year, Says Deutsche Bank",0.0,0.88,0.12,0.128
TSLA,2021-03-22,10:06AM,Will Ark Invests Cathie Wood be the face of the market?,0.0,1.0,0.0,0.0
TSLA,2021-03-22,01:52AM,Volkswagen Heats Up China EV Competition As It Begins Deliveries Of ID.4 Crozz SUV,0.0,1.0,0.0,0.0
TSLA,2021-03-22,10:01AM,"Volkswagens BEV sales could beat Teslas next year, says Deutsche Bank",0.0,1.0,0.0,0.0
TSLA,2021-03-22,09:57AM,"Volkswagen EV Business Worth $230 Billion, Deutsche Bank Says",0.0,0.808,0.192,0.2263
TSLA,2021-03-22,09:20AM,Tesla (TSLA) Cars Restricted From Military Premises in China,0.245,0.755,0.0,-0.3818
TSLA,2021-03-22,08:33AM,Cathie Woods New Tesla Price Target Is Out. And Its a Doozy.,0.0,1.0,0.0,0.0
TSLA,2021-03-22,08:24AM,Tesla Stock Is Surging Higher. That Doesnt Mean Its Out of the Woods.,0.0,1.0,0.0,0.0
TSLA,2021-03-22,08:00AM,Tesla Stock Is A Screaming Buy Now If Cathie Wood's Ark Is Right,0.191,0.809,0.0,-0.3818
TSLA,2021-03-22,07:57AM,Elon Musk says Tesla would be shut down if it spied in China amid questions over cars sensors and cameras,0.0,1.0,0.0,0.0
TSLA,2021-03-22,10:23AM,"Dow Reverses, Tech Stocks Climb As Yields Drop; Tesla Jumps On 3,000 Price Target",0.139,0.861,0.0,-0.2732
TSLA,2021-03-22,07:43AM,Elon Musk says he is accumulating resources to extend the light of consciousness to the stars,0.0,0.898,0.102,0.1779
TSLA,2021-03-22,06:15AM,"Tesla Scores The World's First 8,000-Ton Casting Machine For Its Cybertruck: Report",0.0,1.0,0.0,0.0
TSLA,2021-03-22,06:10AM,"LIVE: Jim Cramer on Tesla, Kansas City Southern, NFTs",0.0,1.0,0.0,0.0
TSLA,2021-03-22,10:28AM,"Dow Jones Reverses Higher As Apple, Intel Lead; Why Tesla Stock Is Racing Ahead",0.0,1.0,0.0,0.0
TSLA,2021-03-22,04:38AM,"Premarket Movers Monday - Kansas City Southern, Tesla, GameStop",0.0,1.0,0.0,0.0
TSLA,2021-03-22,03:32AM,"Tesla Up 3% After Cathie Woods Ark Pegs Stock Price At $3,000 By 2025",0.0,1.0,0.0,0.0
TSLA,2021-03-22,03:18AM,Analysis: Electric shock - German auto stocks get a new lease of life,0.206,0.794,0.0,-0.3818
TSLA,2021-03-22,02:42AM,Elon Musk Assures China Tesla Isn't Using Its Cars to Spy,0.0,0.813,0.187,0.3182
TSLA,2021-03-22,06:18AM,"Porsche At 6-Year High; Volkswagen Surges on IPO Talk, Tesla Challenge",0.0,0.885,0.115,0.0772
TSLA,2021-03-22,05:59AM,These 3 Stocks Are Absurdly Overvalued Right Now,0.0,1.0,0.0,0.0
